T_index,B_r,B_t,B_p,E_r,E_t,E_p,N_pts_within_FF_region,E_pts_chngd,pct_E_pts_chngd,stdev_B_r,stdev_E_r,stdev_B_t,stdev_E_t,stdev_B_p,stdev_E_p,max_abs_rel_dev_B_r,max_abs_rel_dev_E_r,max_abs_rel_dev_B_t,max_abs_rel_dev_E_t,max_abs_rel_dev_B_p,max_abs_rel_dev_E_p,B_outer_BCs_difference_t,E_outer_BCs_difference_t,B_outer_BCs_difference_p,E_outer_BCs_difference_p,nans_B_r,nans_E_r,nans_B_t,nans_E_t,nans_B_p,nans_E_p,nans_tot,total_electric_energy,total_magnetic_energy,total_energy,normalised_B_div_volume_integral
0,0.00807089357348429,0.00404814447264313,0,0,0,0,0,0,nan,2.20306295057206e-05,0,6.15559540035498e-11,0,0,0,0.000259027174121074,0,1.66039929583306e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.56634671797603,4.56634671797603,1.88484521320713e-15
1,0.00807089357348429,0.00404814447264313,0,1.49360402795967e-05,-2.97783817550345e-05,-9.26706685848295e-10,50050,2,0,2.20306295057206e-05,1.12053621344084e-11,6.1555940046298e-11,3.71908049393978e-10,4.97993142729021e-16,4.77548795171203e-10,0.000259027174121074,0.946233984980766,1.66039929583306e-08,0.813448914168895,2.00862461108287e-08,0.000158897886210596,-0.000353026065073989,-0.000353026065073989,-4.65547799291442e-06,-4.65547799291442e-06,0,0,0,0,0,0,0,1.47748042501626e-05,4.56631760124342,4.56633237604767,6.69765659459818e-15
2,0.00807089357734321,0.0040481444749368,-8.97800882041326e-15,2.98720805613602e-05,-5.95567635117544e-05,-1.76433446523138e-09,50050,6,0,2.20306335647716e-05,2.40198810293755e-10,2.45662576494189e-10,4.42987948865382e-09,2.19865463588352e-10,2.80202486531911e-09,0.000259027174132176,83.8623303867668,7.39460049437035e-05,0.863098411893636,1.12551523779726,0.000695297459611499,2.36456277341481e-05,2.36456277341481e-05,-4.3755969498504e-06,-4.3755969498504e-06,0,0,0,0,0,0,0,3.08834766375283e-05,4.56631705359462,4.56634793707126,6.37326724506246e-11
3,0.00807089358415328,0.00404814447866643,-2.35632876874323e-14,4.48081208481922e-05,-8.93351452742543e-05,-2.3146064471006e-09,50050,8,0,2.20306403251925e-05,8.36490067020813e-10,1.491810436349e-09,1.18862552689825e-08,2.4363084172418e-09,8.40089619810127e-09,0.000259027174152604,131.180182482168,0.000383756314983774,0.869692021189284,1.12560423152267,0.00174983225704195,9.21930730034748e-06,9.21930730034748e-06,-4.19595548538146e-06,-4.19595548538146e-06,0,0,0,0,0,0,0,5.77606006442067e-05,4.56631692929533,4.56637468989597,8.70697049078131e-11
4,0.00807089359486994,0.00404814448359495,-4.28044183254854e-14,5.97441611317887e-05,-0.000119113527045349,-2.50825019753422e-09,50050,12,0,2.20306497641652e-05,2.37099724185774e-09,4.88779272377365e-09,2.95222909758303e-08,7.3805911900525e-09,1.8532515570147e-08,0.000259027174180471,109.855439061324,0.00106467892518314,0.916542070557157,1.12571954867349,0.0033978941867272,1.56478246564992e-05,1.56478246564992e-05,-4.01628376698951e-06,-4.01628376698951e-06,0,0,0,0,0,0,0,9.54055629860916e-05,4.56631706658041,4.56641247214339,-4.554819464951e-10
5,0.00807089361024084,0.00404814448953782,-6.59731625177155e-14,7.46802013987586e-05,-0.000148891908829761,-2.22636290830921e-09,50050,14,0,2.20306618728559e-05,5.68954063768468e-09,1.15891484125842e-08,5.44702038444469e-08,1.86691594147953e-08,3.45818667473327e-08,0.000259027174215665,17.0137983917155,0.00222692812721736,0.900699419658566,1.12586308940203,0.00572543038875484,1.53453203881451e-05,1.53453203881451e-05,-3.83907628941121e-06,-3.83907628941121e-06,0,0,0,0,0,0,0,0.000143817430242577,4.56631750862896,4.5664613260592,-3.44636311090203e-10
6,0.00807089363149579,0.00404814449619059,-9.18764350056154e-14,8.96162416241617e-05,-0.000178670290633951,-1.35006595806971e-09,50050,18,0,2.20306766268745e-05,1.16305499147061e-08,2.2887016509053e-08,9.66982113952054e-08,3.77273213864462e-08,5.76650079225209e-08,0.000259027174259074,247.577881511459,0.00396788330440234,0.93297471839953,1.12603585636116,0.00878196365091011,1.51699135384944e-05,1.51699135384944e-05,-3.66410978629619e-06,-3.66410978629619e-06,0,0,0,0,0,0,0,0.000202995273106646,4.56631826079903,4.56652125607214,1.01143100306848e-09
7,0.00807089366008212,0.0040481445031952,-1.19136755154141e-13,0.000104552281769653,-0.000208448672466398,2.39514855497869e-10,50050,20,0,2.20306940003432e-05,2.17735053235107e-08,3.99807694906039e-08,1.51073677678152e-07,6.86022716595908e-08,8.88893246870472e-08,0.000259027174311255,659.397404005408,0.00636020778901525,0.921140406856702,1.12623808456872,0.0126180359991876,1.49712981216458e-05,1.49712981216458e-05,-3.49166532420531e-06,-3.49166532420531e-06,0,0,0,0,0,0,0,0.000272938214629052,4.56631932311761,4.56659226133224,2.9611594078107e-10
8,0.00807089369771034,0.00404814451012843,-1.4615838984345e-13,0.000119488321780659,-0.000238227054338025,2.66125015174488e-09,50050,24,0,2.20307139622705e-05,3.64395166232276e-08,6.40284946138258e-08,2.29654766154379e-07,1.13419342388814e-07,1.29089081202141e-07,0.00025902717436932,1342.12446035271,0.00946384032702685,0.937904488412656,1.12646981776601,0.0172662107671124,1.47684922557199e-05,1.47684922557199e-05,-3.32117157982469e-06,-3.32117157982469e-06,0,0,0,0,0,0,0,0.000353645361802517,4.56632069640925,4.56667434177105,-2.38475912577494e-09
9,0.00807089374635405,0.00404814451650202,-1.71143931424532e-13,0.000134424361583677,-0.000268005436262604,6.03400591458752e-09,50050,26,0.1,2.20307364771577e-05,5.82626154172626e-08,9.60359971683362e-08,3.25374373289402e-07,1.76071742835721e-07,1.78879357308776e-07,0.000259027174436377,2268.6044277386,0.0133235223584824,0.916746164042252,1.12673094200476,0.0246950977116067,1.45632618808578e-05,1.45632618808578e-05,-3.15318247576964e-06,-3.15318247576964e-06,0,0,0,0,0,0,0,0.00044511585430688,4.56632238176936,4.56676749762367,9.02734002671502e-10
10,0.00807089380825004,0.00404814452176259,-1.92112861279854e-13,0.000149360401083569,-0.000297783818257169,1.04766428931366e-08,50050,30,0.1,2.20307615048424e-05,8.59198128100981e-08,1.36816570899485e-07,4.50868779453468e-07,2.59056313748077e-07,2.38816442594331e-07,0.000259027174588589,3587.76279744082,0.0183484646429439,0.937654076325502,1.12702124725263,0.0351473492195848,1.43554583628481e-05,1.43554583628481e-05,-2.98661913835572e-06,-2.98661913835572e-06,0,0,0,0,0,0,0,0.000547348886696238,4.56632438046451,4.56687172935121,4.26553410385275e-09
11,0.00807089388589818,0.00404814452529171,-2.06922632323324e-13,0.000164296440160857,-0.000327562200342416,1.61080159487477e-08,50050,32,0.1,2.20307890008088e-05,1.23603219592769e-07,1.87070555541767e-07,5.97844397742595e-07,3.65342087047879e-07,3.08880071595455e-07,0.000259027174852933,5195.73671791515,0.0268209879289107,0.904860587067896,1.12734045272195,0.0482335014175082,1.41451126176364e-05,1.41451126176364e-05,-2.82333059971838e-06,-2.82333059971838e-06,0,0,0,0,0,0,0,0.000660343655244373,4.56632669400254,4.56698703765779,-5.5748574448925e-09
12,0.00807089398206151,0.00404814452640589,-2.13292287570726e-13,0.000179232478669024,-0.000357340582543116,2.30469734058584e-08,50050,34,0.1,2.20308189160267e-05,1.70553291287805e-07,2.47132659699605e-07,7.68013978849144e-07,4.976211502485e-07,3.89171489008435e-07,0.00025902717507631,7187.09427523726,0.0377131646872082,0.928240914653242,1.12768822059676,0.064216335542014,1.39322611022336e-05,1.39322611022336e-05,-2.66077955764901e-06,-2.66077955764901e-06,0,0,0,0,0,0,0,0.00078409948305049,4.56632932405558,4.56711342353864,-7.55248261777729e-09
13,0.00807089409976618,0.00404814452435658,-2.08828437037974e-13,0.000194168516431804,-0.000387118964888519,3.14123564031163e-08,50050,38,0.1,2.20308511972529e-05,2.21744144036182e-07,3.17252619047871e-07,9.69994088317733e-07,6.54564104665949e-07,4.79311615694774e-07,0.000259027175283477,9641.34114414644,0.0513127436581522,0.936623597267165,1.12806416426742,0.0833893644464974,1.3716927140449e-05,1.3716927140449e-05,-2.50054265615904e-06,-2.50054265615904e-06,0,0,0,0,0,0,0,0.000918615658154921,4.56633227253451,4.56725088819267,1.6601272477303e-09
14,0.00807089424230146,0.00404814451833021,-1.9105386821674e-13,0.000209104553240487,-0.000416897347412762,4.13229982459188e-08,50050,40,0.1,2.20308857869194e-05,2.8554224806686e-07,3.9736368578991e-07,1.19688743969561e-06,8.37478960335349e-07,5.79301708127697e-07,0.000259027176206073,12360.2702497596,0.0679715651554331,0.870140813373732,1.12846785347904,1.57655124934539,1.34992401335728e-05,1.34992401335728e-05,-2.34376592737614e-06,-2.34376592737614e-06,0,0,0,0,0,0,0,0.00106389169373611,4.56633554162532,4.56739943331906,-1.7459894118535e-08
