Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0909423828125 from 0.0909090909090909
New r_max = 10.0032958984375 from 10

Parfrey has the sponge multiplying the value of the time derivative by the value of the field, not the time derivative. But this means it could easily make the time derivative pass the other side of zero. Try with a multiplier for the time derivative instead.

Time start:	Mon Jun 03 12:03:34 2024

Parameter values (given in code units, then in SI units)
P_final                :	44.9688687          0.0015              
Omega_final            :	0.139723001463446   4188.79020478639    
R_LC_max               :	7.15701773885541    71570.1773885541    
r_min, r_max           :	1                   10.0032958984375    
n_r, delta_r           :	100                 0.0909423828125     
n_t, delta_t           :	1001                0.00314159265358979 
Timestep delta_T       :	0.0030517578125     1.01795683349045e-07
CFL max timestep       :	0.00314159265358979 1.04792251097584e-07
Length of simulation   :	1.5                 5.00346142797228e-05	steps: 500
Est. CSV size (MB)     :	50.6057739257812
ell_max                :	20
n_max                  :	10
Printing values at ( r[99], theta[5] ) = ( 10.0032958984375, 0.0172787595947439 ) = ( 10.0032958984375, 0.0055 pi ).
dOmega_by_dT_index     :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start             :	1	0.0030517578125
Ramp stop              :	150	0.457763671875

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.5	6	4

CSV file saved:	CSV/20240603_b_sponge_in_terms_of_time_derivative_4_profiles.csv
CSV file saved:	CSV/20240603_b_sponge_in_terms_of_time_derivative_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV file saved:	CSV/20240603_b_sponge_in_terms_of_time_derivative_7_BCs.csv
Log file saved:	Logs/20240603_b_sponge_in_terms_of_time_derivative.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
0             0             |	0.00199773    1.72608e-05   0             |	0             0             0             |	nan           |	0             0.2           1             0.00305176    |	0.00199773    8.63039e-06   -1.60811e-07  |	2.7789e-09    -1.60811e-07  -8.63039e-06  |	0             |	0             0.4           0:22:49
2             0.00610352    |	0.00199818    8.63036e-06   -3.21623e-07  |	5.36629e-09   -3.21623e-07  -8.63036e-06  |	0             |	0             0.6           0:16:56
3             0.00915527    |	0.00199836    8.63027e-06   -4.82488e-07  |	7.83156e-09   -4.82488e-07  -8.63027e-06  |	0             |	0             0.8           0:14:59
4             0.012207      |	0.00199867    8.63004e-06   -6.43426e-07  |	1.01724e-08   -6.43426e-07  -8.63004e-06  |	0             |	0             1             0:14:01
5             0.0152588     |	0.00199897    8.62947e-06   -8.04593e-07  |	1.23927e-08   -8.04593e-07  -8.62947e-06  |	0             |	0             1.2           0:13:24
6             0.0183105     |	0.00199928    8.62832e-06   -9.66092e-07  |	1.44937e-08   -9.66092e-07  -8.62832e-06  |	0             |	0             1.4           0:13:01
7             0.0213623     |	0.00199958    8.62623e-06   -1.12844e-06  |	1.64741e-08   -1.12844e-06  -8.62623e-06  |	0             |	0             1.6           0:12:43
8             0.0244141     |	0.00199989    8.62274e-06   -1.29184e-06  |	1.83385e-08   -1.29184e-06  -8.62274e-06  |	0             |	0             1.8           0:12:32
9             0.0274658     |	0.0020002     8.61731e-06   -1.45749e-06  |	2.00801e-08   -1.45749e-06  -8.61731e-06  |	0             |	0             2             0:12:24
10            0.0305176     |	0.00200052    8.60928e-06   -1.62571e-06  |	2.17081e-08   -1.62571e-06  -8.60928e-06  |	0             |	0             2.2           0:12:22
11            0.0335693     |	0.00200083    8.59791e-06   -1.79875e-06  |	2.32079e-08   -1.79875e-06  -8.59791e-06  |	0             |	0             2.4           0:12:14
12            0.0366211     |	0.00200115    8.58238e-06   -1.97695e-06  |	2.45965e-08   -1.97695e-06  -8.58238e-06  |	0             |	0             2.6           0:12:07
13            0.0396729     |	0.00200148    8.56184e-06   -2.16389e-06  |	2.58483e-08   -2.16389e-06  -8.56184e-06  |	0             |	0             2.8           0:12:02
14            0.0427246     |	0.0020018     8.53536e-06   -2.35982e-06  |	2.69911e-08   -2.35982e-06  -8.53536e-06  |	0             |	0             3             0:11:56
15            0.0457764     |	0.00200214    8.50199e-06   -2.56698e-06  |	2.80105e-08   -2.56698e-06  -8.50199e-06  |	0             |	0             3.2           0:11:51
16            0.0488281     |	0.00200248    8.46079e-06   -2.79037e-06  |	2.88819e-08   -2.79037e-06  -8.46079e-06  |	0             |	0             3.4           0:11:46
17            0.0518799     |	0.00200283    8.41079e-06   -3.02982e-06  |	2.96485e-08   -3.02982e-06  -8.41079e-06  |	0             |	0             3.6           0:11:42
18            0.0549316     |	0.00200319    8.35108e-06   -3.29233e-06  |	3.02518e-08   -3.29233e-06  -8.35108e-06  |	0             |	0             3.8           0:11:38
19            0.0579834     |	0.00200355    8.28073e-06   -3.573e-06    |	3.07864e-08   -3.573e-06    -8.28073e-06  |	0.1           |	0             4             0:11:35
20            0.0610352     |	0.00200392    8.19889e-06   -3.88285e-06  |	3.11263e-08   -3.88285e-06  -8.19889e-06  |	0             |	0             4.2           0:11:34
21            0.0640869     |	0.00200431    8.10475e-06   -4.20735e-06  |	3.1471e-08    -4.20735e-06  -8.10475e-06  |	0.1           |	0             4.4           0:11:31
22            0.0671387     |	0.0020047     7.99751e-06   -4.56716e-06  |	3.15503e-08   -4.56716e-06  -7.99751e-06  |	0.1           |	0             4.6           0:11:28
23            0.0701904     |	0.0020051     7.87635e-06   -4.95502e-06  |	3.15661e-08   -4.95502e-06  -7.87635e-06  |	0.1           |	0             4.8           0:11:25
24            0.0732422     |	0.00200552    7.74065e-06   -5.3695e-06   |	3.14931e-08   -5.3695e-06   -7.74065e-06  |	0.1           |	0             5             0:11:22
25            0.0762939     |	0.00200594    7.58987e-06   -5.81215e-06  |	3.12998e-08   -5.81215e-06  -7.58987e-06  |	0.1           |	0             5.2           0:11:19
26            0.0793457     |	0.00200638    7.42313e-06   -6.27841e-06  |	3.10323e-08   -6.27841e-06  -7.42313e-06  |	0.1           |	0             5.4           0:11:16
27            0.0823975     |	0.00200683    7.24051e-06   -6.78131e-06  |	3.05716e-08   -6.78131e-06  -7.24051e-06  |	0.1           |	0             5.6           0:11:14
28            0.0854492     |	0.00200729    7.04117e-06   -7.3094e-06   |	3.00882e-08   -7.3094e-06   -7.04117e-06  |	0.1           |	0             5.8           0:11:11
29            0.088501      |	0.00200776    6.82499e-06   -7.85854e-06  |	2.95471e-08   -7.85854e-06  -6.82499e-06  |	0.1           |	0             6             0:11:09
30            0.0915527     |	0.00200824    6.59188e-06   -8.44306e-06  |	2.88196e-08   -8.44306e-06  -6.59188e-06  |	0.1           |	0             6.2           0:11:08
